REQUIRED VARIABLES,DEV STAGE REQUIRED VALUES,PRODUCTION REQUIRED VALUES,DISASTER RECOVERY REQUIRED VALUES,DESCRIPTION
vDevStageControlRoomURL,https://sbarpacrtst.fsba.loc/;https://sbarpabrst1.fsba.loc/,https://sbarpadev.fsba.loc,,Contains Dev/Stage Control Room URL
vProdControlRoomURL,https://sbarpaprd.fsba.loc,https://sbarpaprd.fsba.loc,,Contains Prod Control Room URL
vRecoveryControlRoomURL,TBD,TBD,,Contains DR Control Room URL
vCurrentEnvironment,DEV,PROD,,
vProcessName,SBARPA 003 - Posting Instructions to Eagle,SBARPA 003 - Posting Instructions to Eagle,,
vBotID,Bot,Bot,,
vEmailFrom,donotreply_SBA_PI_to_Eagle_bot@sbafla.com,donotreply_SBA_PI_to_Eagle_bot@sbafla.com,,
vGenericBatchTradeURL,https://devapps.sbafla.com/genericbatchtrade/,https://interchange.sbafla.com/genericbatchtrade,,
vGenericBatchTradeWindowTitle,*Generic Batch Trade*,*Generic Batch Trade*,,
vGenericBatchTradeSuccessSubmitMessage,File submitted successfully.,File submitted successfully.,,
vGenericBatchTradeWarningMessage,warning(s),warning(s),,
vGenericBatchTradeSuccessMessage,No errors. Ready for submission.,No errors. Ready for submission.,,
vFileUploadWindowTitle,Choose File to Upload,Choose File to Upload,,
vGBTretryTimes,2,2,,
vGBTretryDelaySeconds,5,300,,
vOracleConnectionString,Provider=OraOLEDB.Oracle.1;Persist Security Info=False;User ID=[FSBA];Data Source=PMSTST/PMSTST,Provider=OraOLEDB.Oracle.1;Persist Security Info=False;User ID=[FSBA];Data Source=PMSPROD/PMSPROD,,
vCurrencyCodeStoredProcedureName,SB_RPA_GET_CURRENCY_CODE,SB_RPA_GET_CURRENCY_CODE,,
vRPAFolderPath,\\sbafshare\RPA,\\sbafshare\rpa_prod,,
vWorkingFolder,Eagle Process Working Folder,Eagle Process Working Folder,,
vTemporaryFolder,Eagle Process Temporary Folder,Eagle Process Temporary Folder,,
vCashAssetSpecificBatchTemplateFilename,CashAssetSpecificBatchTemplate.xls,CashAssetSpecificBatchTemplate.xls,,
vCashBatchTemplateFilename,CashBatchTemplate.xls,CashBatchTemplate.xls,,
vEquityBatchTemplateFilename,EquityBatchTemplate.xls,EquityBatchTemplate.xls,,
vTargetEmailSubject,"Private Asset Class (PE, SI, RE) Posting Instructions","Private Asset Class (PE, SI, RE) Posting Instructions",,
vIMAPserver,mail.sbafla.com,mail.sbafla.com,,
vRPAsupportEmail,jason.verschage@sbafla.com,RPASupport@sbafla.com,,
vSupportEmail,jason.verschage@sbafla.com,Support_DL@sbafla.com,,
vProcessEmail,jason.verschage@sbafla.com;jane.zody@sbafla.com;carolyn.walker@sbafla.com;adam.lohne@sbafla.com,FinOps2@sbafla.com,,
vInvalidAttachmentArchiveName,Out of Scope Files.zip,Out of Scope Files.zip,,
vTransactionTypeHeaderName,Transaction Type,Transaction Type,,
vMgrFeeHeaderName,Mgr Fee Ticker,Mgr Fee Ticker,,
vTDSDHeaderName,TD & SD,TD & SD,,
vAmountHeaderName,Amount,Amount,,
vSTARtickerHeaderName,STAR Ticker,STAR Ticker,,
vInvalidAttachmentExceptionSubject,Posting Instructions to Eagle - Error: Excel file name incorrect or out of scope attachments,Posting Instructions to Eagle - Error: Excel file name incorrect or out of scope attachments,,
vInvalidAttachmentExceptionBody,"Hello, 

Error: Excel file name incorrect

The Posting Instructions to Eagle bot was unable to process the attached file(s).  Either they do not follow the naming convention or are not Excel files.  Any valid input files will be processed.

Date and time: <Date / timestamp>
Username: <Username>","Hello, 

Error: Excel file name incorrect

The Posting Instructions to Eagle bot was unable to process the attached file(s).  Either they do not follow the naming convention or are not Excel files.  Any valid input files will be processed.

Date and time: <Date / timestamp>
Username: <Username>",,
vDuplicateEmailExceptionSubject,Posting Instructions to Eagle - Error: Duplicate email,Posting Instructions to Eagle - Error: Duplicate email,,
