REQUIRED VARIABLES,DEV STAGE REQUIRED VALUES,PRODUCTION REQUIRED VALUES,DISASTER RECOVERY REQUIRED VALUES,DESCRIPTION
vDevStageControlRoomURL,https://sbarpacrtst.fsba.loc/,https://sbarpadev.fsba.loc,https://sbarpadev.fsba.loc,Contains Dev/Stage Control Room URL
vProdControlRoomURL,https://sbarpacrprd.fsba.loc/,https://sbarpacrprd.fsba.loc/,https://sbarpacrprd.fsba.loc/,Contains Prod Control Room URL
vRecoveryControlRoomURL,TBD,TBD,TBD,Contains DR Control Room URL
vCurrentEnvironment,DEV,PROD,PROD,
vProcessName,RPA007,RPA007,RPA007,
vEmailFrom,donotreply_RPA007_bot@sbafla.com,donotreply_RPA007_bot@sbafla.com,donotreply_RPA007_bot@sbafla.com,
vRPAFolderPath,\\sbafshare\RPA,\\sbafshare\rpa_prod,\\sbafshare\RPA\Recovery,
vRPASupportEmail,jason.verschage@sbafla.com,RPASupport@sbafla.com,RPASupport@sbafla.com,
vIMAPserver,mail.sbafla.com,mail.sbafla.com,mail.sbafla.com,
vSharePointDailyReportUrl,https://worksmart.sbafla.com/sites/riskcomp/pra/Reporting/Daily/IT_Test/,https://worksmart.sbafla.com/sites/riskcomp/pra/Reporting/Daily/,https://worksmart.sbafla.com/sites/riskcomp/pra/Reporting/Daily/,
vChangeInNavExcelFilename,Change in NAV Report.xlsm,Change in NAV Report.xlsm,Change in NAV Report.xlsm,
vFrsPerformanceExcelFilename,FRS Defined Benefit Performance Estimates.xlsm,FRS Defined Benefit Performance Estimates.xlsm,FRS Defined Benefit Performance Estimates.xlsm,
vFinalOutputFileDirectory,https://worksmart.sbafla.com/sites/it/appdev/RPATest,https://worksmart.sbafla.com/Performance,https://worksmart.sbafla.com/Performance/,
vProcessEmail,jason.verschage@sbafla.com,PerformanceGroup_DL@sbafla.com,PerformanceGroup_DL@sbafla.com,
vPerformanceDashboardUrl,https://worksmart.sbafla.com/sites/it/appdev/RPATest,https://worksmart.sbafla.com/Performance,https://worksmart.sbafla.com/Performance/,
vDailyNavReportEmail,jason.verschage@sbafla.com,SBA_Daily_NAV_DL@sbafla.com,SBA_Daily_NAV_DL@sbafla.com,
vChangeInNavPDFFilename,Change in NAV Report.pdf,Change in NAV Report.pdf,Change in NAV Report.pdf,
vFrsPerformancePDFFilename,FRS PP Daily Performance Estimates.pdf,FRS PP Daily Performance Estimates.pdf,FRS PP Daily Performance Estimates.pdf,
vFrsDailyValuesValidationMessage,"Please review the FRS Defined Benefit Performance Estimates file. The tolerance for differences has exceeded the check, and the file will not be published.","Please review the FRS Defined Benefit Performance Estimates file. The tolerance for differences has exceeded the check, and the file will not be published.","Please review the FRS Defined Benefit Performance Estimates file. The tolerance for differences has exceeded the check, and the file will not be published.",
vFrsDateValidationMessage,"Please review the FRS Defined Benefit Performance Estimates file. The Pace Date Check has failed, and the file will not be published.","Please review the FRS Defined Benefit Performance Estimates file. The Pace Date Check has failed, and the file will not be published.","Please review the FRS Defined Benefit Performance Estimates file. The Pace Date Check has failed, and the file will not be published.",
vChangeInNavNotificationMessage,"Pursuant to certain contractual reporting commitments of the State Board of Administration of Florida, acting on behalf of the Florida Retirement System Trust Fund (the �FRS�), please see the attached changes in Net Asset Value of the FRS. Please do not reply to this email as this box is not monitored.","Pursuant to certain contractual reporting commitments of the State Board of Administration of Florida, acting on behalf of the Florida Retirement System Trust Fund (the �FRS�), please see the attached changes in Net Asset Value of the FRS. Please do not reply to this email as this box is not monitored.","Pursuant to certain contractual reporting commitments of the State Board of Administration of Florida, acting on behalf of the Florida Retirement System Trust Fund (the �FRS�), please see the attached changes in Net Asset Value of the FRS. Please do not reply to this email as this box is not monitored.",
vChangeInNavBadDateNotificationMessage,Please Review the Change In Nav File.  The date from the query is not the previous business day.,Please Review the Change In Nav File.  The date from the query is not the previous business day.,Please Review the Change In Nav File.  The date from the query is not the previous business day.,
vTestVariable,Testing the upload,Testing the upload,Testing the upload,
